Damage,GammaDist,Probability,Percentile,DPS,Damage,Normal,Percentile
5433628,4.08754E-08,0,0.001155967,11424.79,5433628,4.54864E-08,0.001349898
5434602,4.21784E-08,4.21784E-08,0.001196424,11426.83,5434602,4.68693E-08,0.001394887
5435577,4.35181E-08,4.35181E-08,0.001238169,11428.88,5435577,4.82895E-08,0.001441242
5436551,4.48953E-08,4.48953E-08,0.001281238,11430.93,5436551,4.97477E-08,0.001488999
5437525,4.6311E-08,4.6311E-08,0.001325667,11432.98,5437525,5.12448E-08,0.001538195
5438499,4.7766E-08,4.7766E-08,0.001371494,11435.03,5438499,5.27816E-08,0.00158887
5439474,4.92613E-08,4.92613E-08,0.001418759,11437.08,5439474,5.43592E-08,0.001641061
5440448,5.07978E-08,5.07978E-08,0.001467501,11439.13,5440448,5.59783E-08,0.00169481
5441422,5.23764E-08,5.23764E-08,0.00151776,11441.17,5441422,5.76398E-08,0.001750157
5442397,5.39981E-08,5.39981E-08,0.001569578,11443.22,5442397,5.93447E-08,0.001807144
5443371,5.56638E-08,5.56638E-08,0.001622997,11445.27,5443371,6.1094E-08,0.001865813
5444345,5.73746E-08,5.73746E-08,0.001678062,11447.32,5444345,6.28885E-08,0.001926209
5445320,5.91314E-08,5.91314E-08,0.001734815,11449.37,5445320,6.47293E-08,0.001988376
5446294,6.09352E-08,6.09352E-08,0.001793303,11451.42,5446294,6.66172E-08,0.002052359
5447268,6.27872E-08,6.27872E-08,0.001853572,11453.47,5447268,6.85534E-08,0.002118205
5448243,6.46883E-08,6.46883E-08,0.001915669,11455.51,5448243,7.05388E-08,0.002185961
5449217,6.66395E-08,6.66395E-08,0.001979643,11457.56,5449217,7.25745E-08,0.002255677
5450191,6.86421E-08,6.86421E-08,0.002045543,11459.61,5450191,7.46614E-08,0.0023274
5451166,7.06971E-08,7.06971E-08,0.002113419,11461.66,5451166,7.68007E-08,0.002401182
5452140,7.28055E-08,7.28055E-08,0.002183324,11463.71,5452140,7.89933E-08,0.002477075
5453114,7.49686E-08,7.49686E-08,0.002255309,11465.76,5453114,8.12405E-08,0.00255513
5454089,7.71874E-08,7.71874E-08,0.002329429,11467.81,5454089,8.35432E-08,0.002635402
5455063,7.94631E-08,7.94631E-08,0.002405739,11469.85,5455063,8.59025E-08,0.002717945
5456037,8.17969E-08,8.17969E-08,0.002484294,11471.9,5456037,8.83197E-08,0.002802815
5457012,8.419E-08,8.419E-08,0.002565151,11473.95,5457012,9.07958E-08,0.002890068
5457986,8.66435E-08,8.66435E-08,0.00264837,11476,5457986,9.3332E-08,0.002979763
5458960,8.91588E-08,8.91588E-08,0.002734009,11478.05,5458960,9.59295E-08,0.003071959
5459935,9.1737E-08,9.1737E-08,0.002822129,11480.1,5459935,9.85894E-08,0.003166716
5460909,9.43793E-08,9.43793E-08,0.002912793,11482.15,5460909,1.01313E-07,0.003264096
5461883,9.70871E-08,9.70871E-08,0.003006063,11484.2,5461883,1.04101E-07,0.00336416
5462858,9.98616E-08,9.98616E-08,0.003102003,11486.24,5462858,1.06956E-07,0.003466974
5463832,1.02704E-07,1.02704E-07,0.00320068,11488.29,5463832,1.09877E-07,0.003572601
5464806,1.05616E-07,1.05616E-07,0.00330216,11490.34,5464806,1.12867E-07,0.003681108
5465781,1.08598E-07,1.08598E-07,0.003406511,11492.39,5465781,1.15927E-07,0.003792562
5466755,1.11653E-07,1.11653E-07,0.003513803,11494.44,5466755,1.19058E-07,0.003907033
5467729,1.14781E-07,1.14781E-07,0.003624107,11496.49,5467729,1.22262E-07,0.004024589
5468704,1.17983E-07,1.17983E-07,0.003737494,11498.54,5468704,1.25539E-07,0.004145301
5469678,1.21262E-07,1.21262E-07,0.003854039,11500.58,5469678,1.28891E-07,0.004269243
5470652,1.24617E-07,1.24618E-07,0.003973816,11502.63,5470652,1.32319E-07,0.004396488
5471627,1.28052E-07,1.28052E-07,0.0040969,11504.68,5471627,1.35825E-07,0.004527111
5472601,1.31567E-07,1.31567E-07,0.00422337,11506.73,5472601,1.39409E-07,0.004661188
5473575,1.35164E-07,1.35164E-07,0.004353305,11508.78,5473575,1.43074E-07,0.004798797
5474549,1.38844E-07,1.38844E-07,0.004486785,11510.83,5474549,1.46821E-07,0.004940016
5475524,1.42608E-07,1.42609E-07,0.004623891,11512.88,5475524,1.50651E-07,0.005084926
